,name,latitude,longitude,population
0,Novosibirsk,55.0282171,82.9234509,1625600
1,London,51.5073219,-0.1276474,8416535
2,Wellington,-41.2887953,174.7772114,201900
3,Itajaí,-26.9117879,-48.6669852,205271
4,Wells,51.2094511,-2.6451203,11000
5,Leeds,53.7974185,-1.5437941,766399
6,Athens,37.9839412,23.7283052,3090508
7,Baltimore,39.2908816,-76.610759,621342
8,Bath,51.3813864,-2.3596963,88859
9,Ljubljana,46.0499803,14.5068602,272000
10,Chester,53.1908873,-2.8908955,119000
11,Charleroi,50.4120332,4.4436244,202730
12,Limassol,34.6852901,33.0332657,101000
13,Leicester,52.6361398,-1.1330789,305700
14,Lincoln,53.2336301,-0.5392172,97541
15,Glasgow,55.8609825,-4.2488787,606340
16,Norwich,52.628606,1.29227,195000
17,Oxford,51.7520131,-1.2578499,165000
18,Copenhagen,55.6867243,12.5700724,613288
19,Sydney,-33.8548157,151.2164539,4627345
20,Quezon City,14.6509905,121.0486155,2936116
21,Helsingborg,56.0441984,12.7040684,93838
22,Mumbai,19.0759899,72.8773928,12442373
23,New Delhi,28.6138954,77.2090057,249998
24,Taree,-31.912864,152.4608481,25421
25,Erlangen,49.5981187,11.003645,105624
26,Vienna,48.2083537,16.3725042,1897481
27,Pécs,46.0763222,18.2280746,145347
28,Portsmouth,50.8036831,-1.075614,197700
29,Paris,48.8566969,2.3514616,2187526
30,Gloucester,51.8653705,-2.2458192,121700
31,Coventry,52.4081812,-1.510477,337428
32,Birmingham,52.4796992,-1.9026911,1036878
33,Edinburgh,55.9533456,-3.1883749,488050
34,Canterbury,51.2800275,1.0802533,43400
35,Peterborough,52.5725769,-0.2427336,183600
36,Plymouth,50.3712659,-4.1425658,258700
37,Exeter,50.725562,-3.5269108,113507
38,Toronto,43.6534817,-79.3839347,2651717
39,Hildesheim,52.1521636,9.9513046,101744
40,Bern,46.9482713,7.4514512,128848
41,Ottawa,45.421106,-75.690308,934243
42,Cleveland,41.5051613,-81.6934446,397000
43,Toledo,41.6786754,-83.5127283,316179
44,Detroit,42.3315509,-83.0466403,677116
45,Hamilton,43.2560802,-79.8728583,519949
46,Cambridge,43.3600536,-80.3123023,129920
47,Duluth,46.7729322,-92.1251218,86265
48,Thunder Bay,48.406414,-89.259796,108359
49,Green Bay,44.5126379,-88.0125794,101412
50,Toowoomba,-27.5610193,151.953351,96567
51,Lyon,45.7578137,4.8320114,500715
52,Chemnitz,50.8322608,12.9252977,243089
53,Dresden,51.0493286,13.7381437,557098
54,Hamburg,53.550341,10.000654,1812709
55,Newcastle upon Tyne,54.9738474,-1.6131572,289835
56,York,53.9590555,-1.0815361,137000
57,Wollongong,-34.4243941,150.89385,268944
58,Carlisle,54.8948478,-2.9362311,72000
59,Cologne,50.938361,6.959974,1069200
60,Sunderland,54.9058512,-1.3828727,275300
61,Cambridge,52.2034823,0.1235817,145818
62,Worcester,52.1911849,-2.2206585,94000
63,Linköping,58.4098135,15.6245252,111267
64,Oslo,59.9133301,10.7389701,616754
65,Bremen,53.0758196,8.8071646,551415
66,Graz,47.0708678,15.4382786,286292
67,Chelmsford,51.7345436,0.4724544,176194
68,Wakefield,53.6829541,-1.4967286,322300
69,Baghdad,33.3024309,44.3787992,7216040
70,Roskilde,55.6433478,12.0819247,50781
71,Esbjerg,55.4664892,8.4520751,72398
72,Inverness,57.4790124,-4.225739,67230
73,Aberdeen,57.1482429,-2.0928095,228670
74,Swansea,51.6195955,-3.9459248,239000
75,Madrid,40.4167047,-3.7035825,3233527
76,Stirling,56.1181242,-3.9360012,33700
77,Lichfield,52.6843696,-1.8275286,30600
78,Durham,54.7764152,-1.5758539,42100
79,Bergen,60.3943055,5.3259192,257087
80,Perth,56.3957679,-3.4335463,45000
81,Dundee,56.4605938,-2.97019,148330
82,Hereford,52.0553813,-2.7151735,58896
83,Herne,51.5380394,7.219985,154417
84,Alicante,38.353738,-0.4901846,329988
85,Bangor,53.2277187,-4.1268822,17988
86,Liverpool,53.407154,-2.991665,434900
87,Preston,53.7593363,-2.6992717,114300
88,Honolulu,21.304547,-157.8556764,390738
89,Ipswich,-27.6160135,152.7608702,166904
90,Jihlava,49.396064,15.5903065,51216
91,Melbourne,-37.8142176,144.9631608,4440300
92,Sarnia,42.9746137,-82.4065585,72366
93,Pori,61.4865542,21.7968951,83525
94,Canberra,-35.2975906,149.1012676,426709
95,Leipzig,51.3406321,12.3747329,596517
96,Kabul,34.5260109,69.1776838,3289000
97,Córdoba,37.8845813,-4.7760138,328428
98,Málaga,36.7213028,-4.4216366,568305
99,Turku,60.4517531,22.2670522,182255
100,Derby,52.9212617,-1.4761491,233700
101,Kiel,54.3227085,10.135555,246306
102,Nottingham,52.9534193,-1.1496461,305700
103,Halifax,44.648618,-63.5859487,403131
104,Viseu,40.6574713,-7.9138664,57975
105,Braga,41.5510583,-8.4280045,136885
106,Topeka,39.049011,-95.677556,124331
107,Linz,48.3059078,14.286198,197283
108,Beijing,39.906217,116.3912757,19612368
109,Évora,38.5707742,-7.9092808,41898
110,Vila Real,41.2977251,-7.7457871,27735
111,Setúbal,38.524321,-8.8926172,98131
112,Portalegre,39.2911347,-7.4333887,15374
113,Santarém,39.2363637,-8.6867081,29777
114,Leiria,39.7437902,-8.8071119,50533
115,Bragança,41.8071182,-6.7589839,23186
116,Faro,37.0162727,-7.9351771,47575
117,Angra do Heroísmo,38.6593167,-27.2195578,8654
118,Funchal,32.6496497,-16.9086783,111541
119,Ponta Delgada,37.7394344,-25.6683618,40661
120,Horta,38.5368032,-28.630109,5553
121,Ribeira Grande,37.8225227,-25.5194914,12663
122,Dortmund,51.5142273,7.4652789,600933
123,Lübeck,53.866444,10.684738,212958
124,St Albans,51.7492956,-0.3422526,57795
125,Port Elizabeth,-33.9617051,25.6207519,1050000
126,Wolverhampton,52.5847651,-2.127567,251462
127,Pretoria,-25.7459374,28.1879444,741651
128,Växjö,56.8787183,14.8094385,55600
129,Szekszárd,46.3484884,18.701663,32844
130,Coimbra,40.2109801,-8.4292057,105842
131,Legazpi,13.1388596,123.7343104,196639
132,Arad,46.1753793,21.3196342,159074
133,Casablanca,33.5950627,-7.6187768,3359818
134,Uppsala,59.8586126,17.6387436,128400
135,Würzburg,49.79245,9.932966,124700
136,Moers,51.451283,6.62843,105102
137,Williamsport,41.2493292,-77.0027671,29381
138,Newcastle,-32.9272881,151.7812534,398770
139,Ankara,39.9207774,32.854067,4338620
140,Edirne,41.6759327,26.5587225,173037
141,Çanakkale,40.1535295,26.4139699,519793
142,Kırklareli,41.7370223,27.2235523,277984
143,Balıkesir,39.6473917,27.8879787,1196170
144,Aydin,37.8413007,27.8328374,1068260
145,Muğla,37.215154,28.3637726,923773
146,Afyonkarahisar,38.7568509,30.5386944,714523
147,Bilecik,40.1435101,29.9752911,51260
148,Burdur,37.7248394,30.2887286,261401
149,Düzce,40.8458611,31.164851,370371
150,Eskisehir,39.7666813,30.5255947,844842
151,Konya,37.8719963,32.4844015,2161303
152,Kütahya,39.4191505,29.9872928,573642
153,Manisa,38.6155029,27.4255716,1396945
154,Uşak,38.6795138,29.4054312,358736
155,Yalova,40.6557049,29.2707861,241665
156,Kaposvár,46.3564692,17.7886886,63186
157,Stockholm,59.3251172,18.0710935,829417
158,Gothenburg,57.7072326,11.9670171,522259
159,Tehran,35.6892523,51.3896004,8693706
160,Espoo,60.2241869,24.6603626,260842
161,Karlstad,59.3809146,13.5027631,62797
162,Coffs Harbour,-30.2962407,153.1135293,68486
163,Žilina,49.2234674,18.7393139,85558
164,Trenčín,48.8923583,18.0393715,56759
165,Prešov,48.997631,21.2401873,91498
166,Trnava,48.3767652,17.5858175,68038
167,Banská Bystrica,48.7384028,19.1573494,80466
168,Isfahan,32.6707877,51.6650002,1808968
169,Mashhad,36.2974945,59.6059232,3312090
170,Tabriz,38.0739964,46.2961952,1800000
171,Qazvin,36.2804074,50.006663,1000000
172,Qom,34.6423117,50.8800969,1075000
173,Shiraz,29.6060218,52.5378041,1713000
174,Harrisburg,40.2663107,-76.8861122,49528
175,Kyiv,50.4500336,30.5241361,2909697
176,Chernihiv,51.494099,31.294332,293969
177,Odesa,46.4873195,30.7392776,1008852
178,Lviv,49.841952,24.0315921,724822
179,Homel,52.4238936,31.0131698,535693
180,Minsk,53.902334,27.5618791,1982444
181,Niagara Falls,43.1065603,-79.0639039,93000
182,Târgu Mureș,46.5446244,24.5611947,134290
183,St. Catharines,43.1579812,-79.2441003,133113
184,Bonn,50.735851,7.10066,330224
185,Havana,23.135305,-82.3589631,2141993
186,Urmia,37.5493473,45.0682863,667499
187,Roodepoort,-26.1563889,27.8858333,325000
188,Gdansk,54.347629,18.6452324,461935
189,Gdynia,54.5164982,18.5402738,248042
190,McKinney,33.1976496,-96.6154471,172298
191,Adana,36.9936175,35.3258349,1636229
192,Hakkâri,37.574898,43.73766,267813
193,Van,38.5083601,43.3745322,1100190
194,Iğdır,39.9215668,44.0467724,192785
195,Antakya,36.2025861,36.1604022,365402
196,Kahramanmaraş,37.5812744,36.927509,1112634
197,Mersin,36.8117583,34.6292679,1773852
198,Osmaniye,37.073671,36.255941,522175
199,Aksaray,38.3705416,34.026907,195990
200,Karaman,37.1792447,33.2224781,245610
201,Kayseri,38.7225274,35.4874516,1389680
202,Kırıkkale,39.8485708,33.5276222,351684
203,Kırşehir,39.1461142,34.1605587,229975
204,Nevşehir,38.6223688,34.7136022,290895
205,Niğde,37.9712079,34.6775534,351468
206,Sivas,39.7503572,37.0145185,621224
207,Yozgat,39.8205571,34.8094917,79611
208,Amasya,40.6503248,35.8329148,326351
209,Artvin,41.1830811,41.8287448,168068
210,Bartın,41.6338394,32.3384354,192389
211,Bayburt,40.25569,40.224099,90154
212,Çorum,40.5491496,34.9602453,527863
213,Giresun,40.9148702,38.3879289,444467
214,Gümüşhane,40.4617844,39.4757339,172034
215,Karabük,41.1955402,32.6231154,242347
216,Kastamonu,41.3765359,33.7770087,110908
217,Ordu,40.9805304,37.8839101,750588
218,Rize,41.022809,40.519612,331048
219,Samsun,41.2889924,36.3294459,1295927
220,Sinop,42.0266698,35.1506765,205478
221,Tokat,40.32648,36.55403,602662
